标题,歌曲id,所属歌单
刀马旦,29393649,9255553205
咸鱼,386040,9255553205
Alive!(我的自由式),25641508,9255553205
你是旷野 是山间的风,2663588977,9255553205
相信自己无限极,64063,9255553205
风雨,109555,9255553205
极光之外,2652412410,9255553205
野子,36229051,9255553205
烦恼歌 (live),2675070028,4991155974
最后一页 (Live版),2149816926,4991155974
歌曲：岁月里的花（live）,2670089636,4991155974
妥协 (Live版),2166118123,4991155974
用情 (Live版),2061887799,4991155974
歌曲：方的言（live）,2670097544,4991155974
歌曲 : 住在心里的人（live）,2670099651,4991155974
歌曲：我可以（live）,2670098057,4991155974
你瞒我瞒 (live),2672424426,4991155974
心照 (live),2672424370,4991155974
爱你一万年,156925,6845739711
梦一场,280156,6845739711
你看你看月亮的脸,276676,6845739711
是不是每一个恋爱的人都像我,89790,6845739711
一天到晚游泳的鱼,187993,6845739711
流星雨,354455,6845765666
第一时间,354469,6845765666
倒带,209758,6845765666
恋爱ing,385973,6845765666
Lydia,354588,6845765666
骑士精神,209760,6845765666
如果的事,400075195,6845765666
泪桥,156736,8804779200
钢铁是怎样没有炼成的,5271359,8804779200
中南海,347966,8804779200
春天的故事,348142,8804779200
隧道,385394,8804779200
在雨中,155984,8804779200
Good Night,1355025152,8804779200
倔强,386175,8804779200
恐怖的房子,348028,8804779200
美丽世界的孤儿,156053,8804779200
阴天,277775,6957296439
普通朋友,150623,6957296439
全世界只想你来爱我,187600,6957296439
爱就一个字,33599439,6957296439
爱我的请举手,277748,6957296439
味道,308091,6957296439
那些花儿,139377,6957296439
如果云知道,142670,6957296439
想你的365天,106368,6957296439
小镇姑娘,150619,6957296439
揪心的玩笑与漫长的白日梦,386829,8293792441
大风吹,411314657,8293792441
我夏流,33394070,8293792441
送流水,1365208495,8293792441
烂泥,411314656,8293792441
银河冬令恋曲,34532821,8293792441
山海,411314659,8293792441
跳东湖,1393609698,8293792441
丑,411315632,8293792441
兴奋到死的东西,1369034687,8293792441
她爱了我好久,147073,6686195218
一首遗憾的歌,2621961189,6686195218
寂寞的季节,150524,6686195218
长镜头,280030,6686195218
没有你了,111743,6686195218
秋天的海,288003,6686195218
不公平,435288315,6686195218
湖的另一岸,1814882532,6686195218
刚刚好,415792881,13007986643
爸爸妈妈,407450223,13007986643
虚拟,421423808,13007986643
开往早晨的午夜,449577636,13007986643
鼓楼,447926067,13007986643
后继者,442314990,13007986643
骄傲的少年,408332757,13007986643
你，好不好？,413812809,13007986643
红蔷薇白玫瑰,420513158,13007986643
艳粉街的故事,205603,8756917202
孩子,316052,8756917202
春去秋来,66671,8756917202
青春(木吉他版),27485091,8756917202
青春无悔,85567,8756917202
睡在我上铺的兄弟,519935280,8756917202
梦回童年,5265940,8756917202
同桌的你(风行版),108128,8756917202
我的1997 (原版),205622,8756917202
文科生的一个下午,5265943,8756917202
农民的儿子,348160,8804782200
静止,357424,8804782200
白鸽,157092,8804782200
改变,198600,8804782200
牵挂,157342,8804782200
别来纠缠我,357241,8804782200
Last Dance,157276,8804782200
回来,259602,8804782200
关于女人,157381,8804782200
唱首情歌给你听,348153,8804782200
迪爵迪迪龙,2680594458,5395389058
留佇咱的血內底,2677060380,5395389058
捕捉心跳,2676031895,5395389058
Ghost,2676291657,5395389058
和立栢Peh山记,2679031953,5395389058
别轻易带走我的所有,2676301090,5395389058
天問,2674408960,5395389058
落泪前 先跳支舞,2674426505,5395389058
一个人的精彩,307655,6845433364
我,187374,6845433364
K歌之王,67467,6845433364
笑忘书,299601,6845433364
开始懂了,287719,6845433364
温柔,386866,6845433364
星语心愿,330706,6845433364
有一点动心,186348,6845433364
雪落下的声音 (Live),1992339351,7119800243
冬天的秘密,1894007406,7119800243
大约在冬季,485992506,7119800243
冬天,87834,7119800243
当冬夜渐暖,286959,7119800243
莫斯科没有眼泪,383267,7119800243
冬季到台北来看雨,276731,7119800243
断桥残雪,167937,7119800243
天冷就回来,118976,7119800243
后来的我们,553310243,8596628206
Last Dance,1443886272,8596628206
时间煮雨,26562741,8596628206
人啊,526116066,8596628206
可以的话,34614557,8596628206
蜂鸟,1348568908,8596628206
私奔,530986063,8596628206
荔枝,1987834234,8596628206
香水,168768,8484467200
小小,287231,8484467200
下一站天后,382844,8484467200
灵魂相认,29544620,8484467200
我的回忆不是我的,316451,8484467200
当爱已成往事,461518831,8484467200
士多啤梨苹果橙,382566,8484467200
好想抱着你,32737496,8484467200
娱乐自己,2008937685,8114056497
不爱我的我不爱,299598,8114056497
我不是天使,280100,8114056497
流星,117893,8114056497
哼情歌,306668,8114056497
类似爱情,26127556,8114056497
爱上我所有,34586183,8114056497
大风吹,1989316541,8114056497
Dear you and the boy,26484112,8114056497
Lonestar,1960129460,8114056497
深夜的歌,463973320,7561460225
酒馆,1422931582,7561460225
莉莉安,27646196,7561460225
飞鸟,1451744158,7561460225
陀螺,155753,7561460225
模样,453927775,7561460225
龙港秘密,35618537,7561460225
任朝暮,421563714,7561460225
如今,1924807470,7561460225
只道寻常,480768067,7561460225
给 来自月球的L,1487205165,7308142944
每一秒钟,1905012469,7308142944
星空,1815618744,7308142944
每一天都想见面,1892315594,7308142944
彩虹气泡,1815616558,7308142944
落日与海,1859050919,7308142944
季,1874077509,7308142944
被困在春天,1865444265,7308142944
巴黎德州,1487205164,7308142944
千千阕歌,212233,8484246205
红日,32689581,8484246205
别问我是谁,301035,8484246205
一人有一个梦想,258684,8484246205
留下了心事,253839,8484246205
一代女皇,249104,8484246205
忘不了,150858,8484246205
月半小夜曲,32689588,8484246205
梦中人 (Live),22201001,7233044181
野孩子 (Live),27867498,7233044181
爱像一首歌(Live),227762,7233044181
囍帖街 (Live in Hong Kong/ 2009),308142,7233044181
世界第一等(Live),110761,7233044181
终身美丽 (Live),31246548,7233044181
阴天(Live),277722,7233044181
假如让我说下去(Live),317247,7233044181
原谅我 (洛克先生Live版),167884,7233044181
勇气 (Live),254409,7233044181
Bye Bye,28168578,8451919201
干杯,22197007,8451919201
披星戴月的想你,1317457805,8451919201
再度重相逢,156772,8451919201
想去海边,1413863166,8451919201
一事无成的伟大,565890372,8451919201
不说再见,399354289,8451919201
告别,1439355372,8451919201
无法复制的青春,1847213635,8451919201
没有你的旅途 没有意义,409031377,8451919201
感觉,366475,8835218200
黑白画映,187995,8835218200
秋,327151,8835218200
7-11 的爱恋,366449,8835218200
我是一只鱼,1411718813,8835218200
拥抱,386927,8835218200
醒不来,299932,8835218200
一个人,316113,8835218200
再见以前先说再见,150674,8835218200
听到你一声「喂～」，我没了。,2655818411,8640538202
一天,1408122638,8640538202
看海,327186,8640538202
明天的烦恼交给明天,400579059,8640538202
New Boy,28996919,8640538202
特务J,209633,8640538202
走慢一点点,26577240,8640538202
烦恼歌,187672,8640538202
祝你开心,287277,8640538202
浴火,2675233759,13150474645
双生劫,2675185113,13150474645
天生最相配（《哪吒之魔童闹海》电影同人曲）,2675103316,13150474645
太乙,2674062653,13150474645
幸得知我,2673660955,13150474645
寂灭之火,2675868895,13150474645
窥豹,2674446973,13150474645
哪吒,505446392,13150474645
哪吒,477331954,13150474645
莲花,1817971998,13150474645
负重一万斤长大,1406686876,7403030418
这样爱了,1803963146,7403030418
天若有情,1941990933,7403030418
寂寞沙洲冷,1453957944,7403030418
哪里都是你,488249475,7403030418
说散就散,468513829,7403030418
我好像在哪见过你,417859631,7403030418
冬眠,1398663411,7403030418
关于孤独我想说的话,1346093140,7403030418
我们俩,85571,9251843597
浪漫血液,29850683,9251843597
我们的时光,29567193,9251843597
有点甜,165340,9251843597
隆里电丝 (LIVE版),1964443044,9251843597
小宇,476659144,9251843597
不幸之幸,2678309780,924680166
超人,2675945374,924680166
火上浇油,2677054244,924680166
太成都,2673105026,924680166
有些,2677409128,924680166
三拜红尘凉,2675178713,924680166
死疙瘩Pt.2,2677083656,924680166
Cy2Ph72Er7,2678915785,924680166
